year,Country,Points,language,ISO,gov_right1,gov_cent1,gov_left1,Youth,CultureGoodsExport,exp_percent_gdp,gdp_per_capita,agri_percent_gdp,ind_percent_gdp,manu_percent_gdp,serv_percent_gdp,pillar_ind,politicalattitude,youth_inrate,culturegoodsexp_inrate,points_grid,
1975,Belgium,17,Germanic,BE,28.57,71.43,0,,,45.91603657,6701,,,,,NA,1,NA,NA,1,
1976,Belgium,68,Germanic,BE,28.79,71.21,0,,,48.55438286,7243,,,,,NA,1,NA,NA,2,
1977,Belgium,69,Germanic,BE,13.41,63.86,22.73,,,47.50725022,8427,,,,,NA,1,NA,NA,2,
1978,Belgium,125,Germanic,BE,0,60.51,39.49,,,45.76164418,10290,,,,,NA,1,NA,NA,3,
1979,Belgium,5,Germanic,BE,0,59.77,40.23,,,49.9224385,11811,,,,,NA,1,NA,NA,0,
1980,Belgium,14,Germanic,BE,7.94,48.61,43.45,,,50.11728048,12864,,,,,NA,1,NA,NA,0,
1981,Belgium,40,Germanic,BE,2.05,51.92,46.03,,,54.06352206,10623,,,,,NA,1,NA,NA,1,
1982,Belgium,96,Germanic,BE,50,50,0,,,58.10331181,9344,,,,,NA,0,NA,NA,3,
1983,Belgium,13,Germanic,BE,50,50,0,,,60.39562658,8846,,,,,NA,0,NA,NA,0,
1984,Belgium,70,Germanic,BE,50,50,0,,,64.41235168,8457,,,,,NA,0,NA,NA,2,
1985,Belgium,7,Germanic,BE,49.69,50.31,0,,,62.45432742,8751,,,,,NA,1,NA,NA,0,
1986,Belgium,176,Germanic,BE,46.67,53.33,0,,,57.28304983,12170,,,,,NA,1,NA,NA,3,
1987,Belgium,56,Germanic,BE,46.08,53.92,0,,,55.86776307,15136,,,,,NA,1,NA,NA,2,
1988,Belgium,5,Germanic,BE,19.13,54.39,26.49,,,59.40808324,16391,,,,,NA,1,NA,NA,0,
1989,Belgium,13,Germanic,BE,0,52.94,47.06,,,63.56674894,16525,,,,,NA,1,NA,NA,0,
1990,Belgium,46,Germanic,BE,0,52.94,47.06,,,61.61369096,20600,,,,,NA,1,NA,NA,2,
1991,Belgium,23,Germanic,BE,0,51.49,48.51,,,60.22965488,21042,,,,,NA,1,NA,NA,1,
1992,Belgium,11,Germanic,BE,0,46.74,53.26,,,58.80893033,23373,,,,,NA,2,NA,NA,0,
1993,Belgium,3,Germanic,BE,0,46.67,53.33,,,56.10774116,22284,,,,,NA,2,NA,NA,0,
1995,Belgium,8,Germanic,BE,0,46.67,53.33,,,60.11437172,28414,1.306623478,26.04581425,18.3362939,62.79132744,3,2,NA,NA,0,
1996,Belgium,22,Germanic,BE,0,46.67,53.33,,,61.19239096,27490,1.32831141,25.81088642,18.16805585,62.5668554,3,2,NA,NA,1,
1998,Belgium,122,Germanic,BE,0,46.67,53.33,,,64.17434502,25338,1.255675473,25.57068537,18.15923392,62.6376149,3,2,NA,NA,3,
1999,Belgium,38,Germanic,BE,21.99,24.68,53.33,,,64.56305952,25244,1.076235331,24.72584434,17.30709231,63.41402416,3,2,NA,NA,2,
2000,Belgium,2,Germanic,BE,46.67,0,53.33,,,72.54739516,23042,1.17600528,24.94383258,17.53597445,63.05584289,3,2,NA,NA,0,
2002,Belgium,33,Germanic,BE,46.67,0,53.33,,,70.8312977,24888,1.033134143,23.78733634,16.79458705,64.6783107,3,2,NA,NA,2,
2003,Belgium,165,Germanic,BE,46.67,0,53.33,,,69.03650851,30588,1.029444503,23.22665489,16.20023741,65.31204459,3,2,NA,NA,3,
2004,Belgium,7,Germanic,BE,46.67,0,53.33,,8.17,70.90627745,35364,1.022910541,22.95999895,16.08993608,65.24479339,3,2,NA,NA,0,
2005,Belgium,29,Germanic,BE,46.67,0,53.33,,7.28,74.28282892,36796,0.840639974,22.57377815,15.87094598,65.87433266,3,2,NA,0.030938945,0,
2006,Belgium,69,Germanic,BE,46.67,0,53.33,,6.67,76.80499706,38673,0.907269381,22.13992554,15.01853751,66.14894903,3,2,NA,0.011316976,2,
2007,Belgium,14,Germanic,BE,46.55,1.08,52.37,,7.14,78.3018047,44263,0.88752394,22.28195248,15.06031828,66.05405,3,2,NA,0.012613605,0,
2008,Belgium,16,Germanic,BE,45.84,33.85,20.31,10666866,6.51,80.88061998,48107,0.712338067,21.5954485,13.99274072,66.95736178,3,0,NA,0.013610574,0,
2009,Belgium,1,Germanic,BE,43.6,36.4,20,10753080,6.24,68.83400371,44584,0.645274319,20.60002979,12.91804147,68.08687435,3,0,0.008082411,0.013145304,0,
2010,Belgium,143,Germanic,BE,40,40,20,10839905,5.25,75.85006448,44142,0.765104157,20.89458036,13.33859852,67.65763406,3,0,0.008074431,0.012893306,3,
2010,Belgium,167,Germanic,BE,40,40,20,10839905,5.25,75.85006448,44142,0.765104157,20.89458036,13.33859852,67.65763406,3,0,0.008074431,0.012893306,3,
2011,Belgium,53,Germanic,BE,39.89,38.79,21.32,11000638,5.32,80.69736291,47349,0.64803422,20.7778964,12.92905935,67.97273596,3,0,0.014827897,0.01223146,1,
2012,Belgium,16,Germanic,BE,38.46,23.08,38.46,11075889,4.92,80.40449051,44673,0.781226735,20.07524056,12.62420868,68.49910157,3,0,0.006840603,0.0117382,0,
2013,Belgium,71,Germanic,BE,38.46,23.08,38.46,11137974,4.66,79.3243484,46745,0.681174913,19.87919976,12.56263999,68.77188964,3,0,0.005605419,0.010750241,2,
2013,Belgium,75,Germanic,BE,38.46,23.08,38.46,11137974,4.66,79.3243484,46745,0.681174913,19.87919976,12.56263999,68.77188964,3,0,0.005605419,0.010750241,2,
2014,Belgium,28,Germanic,BE,44.26,25.92,29.82,11180840,4.32,79.80100907,47701,0.637835968,19.67482648,12.56468619,69.16114583,3,0,0.003848635,0.008981057,0,
2015,Belgium,217,Germanic,BE,64.29,35.71,0,11237274,4.11,77.80528215,40992,0.68641478,19.66988832,12.69333388,69.2286131,3,0,0.005047385,0.008423043,3,
2015,Belgium,149,Germanic,BE,64.29,35.71,0,11237274,4.11,77.80528215,40992,0.68641478,19.66988832,12.69333388,69.2286131,3,0,0.005047385,0.008423043,3,
2016,Belgium,181,Germanic,BE,64.29,35.71,0,11311117,3.75,79.42961547,41984,0.628433476,19.28822027,12.35694408,69.37556341,3,0,0.006571256,,2,
2016,Belgium,274,Germanic,BE,64.29,35.71,0,11311117,3.75,79.42961547,41984,0.628433476,19.28822027,12.35694408,69.37556341,3,0,0.006571256,,3,
2017,Belgium,363,Germanic,BE,64.29,35.71,0,11351727,3.48,83.18241025,44089,0.66509366,19.23536249,12.42911753,69.31069109,3,0,0.003590273,,3,
2017,Belgium,165,Germanic,BE,64.29,35.71,0,11351727,3.48,83.18241025,44089,0.66509366,19.23536249,12.42911753,69.31069109,3,0,0.003590273,,2,
2018,Belgium,91,Germanic,BE,65.08,34.92,0,11398589,3.57,82.99557248,47555,0.565349487,18.90259598,12.16968695,69.70237641,3,0,0.004128182,,1,
2019,Belgium,68,Germanic,BE,76.92,23.08,0,11455519,3.53,81.81258235,46414,0.626060684,19.11141453,12.16080157,69.50308559,3,0,0.004994478,,1,
1975,Finland,74,Uralic,FI,12.04,30.14,37.62,,,22.13360979,6256,9.799162169,35.48646669,23.14413301,45.65902659,3,2,NA,NA,2,
1976,Finland,44,Uralic,FI,13.07,39.91,37.16,,,23.5470324,6740,9.30482677,34.0555164,23.04555404,47.37701084,3,1,NA,NA,1,
1977,Finland,50,Uralic,FI,11.1,52.85,29.53,,,26.85129694,7069,8.661221468,33.49745983,22.34965234,47.49820881,3,1,NA,NA,1,
1978,Finland,2,Uralic,FI,1.1,45.57,46.67,,,27.86032209,7629,8.253430235,33.62991001,23.03527674,47.29641164,3,2,NA,NA,0,
1979,Finland,38,Uralic,FI,7.12,39.78,46.9,,,29.57857838,9332,8.131651039,34.31216022,24.01602736,47.0840709,3,2,NA,NA,1,
1980,Finland,6,Uralic,FI,11.76,35.29,47.06,,,30.82271147,11224,8.580681582,34.04343821,24.20298898,46.75996078,3,2,NA,NA,0,
1981,Finland,27,Uralic,FI,11.76,35.29,47.06,,,31.28694145,10927,7.662805054,33.58289332,23.38245725,47.84721675,3,2,NA,NA,1,
1982,Finland,0,Uralic,FI,11.76,35.33,47.06,,,28.87414434,10938,7.770483377,32.74303203,22.65729038,48.42183959,3,2,NA,NA,0,
1983,Finland,41,Uralic,FI,11.76,41.18,47.06,,,28.70455688,10497,7.566175239,32.59758754,22.28178924,48.93617021,3,2,NA,NA,2,
1984,Finland,46,Uralic,FI,11.76,41.18,47.06,,,29.48559671,10834,7.242798354,32.04451927,22.29517396,49.09465021,3,2,NA,NA,2,
1985,Finland,58,Uralic,FI,11.76,41.18,47.06,,,27.98866856,11398,6.877843592,30.92454288,21.71001803,50.29444588,3,2,NA,NA,2,
1986,Finland,22,Uralic,FI,11.76,41.18,47.06,,,25.64720144,14951,6.5573509,30.12457531,20.75829837,51.12213485,3,2,NA,NA,1,
1987,Finland,32,Uralic,FI,37.53,17.17,45.3,,,24.99852324,18571,5.280878965,30.47728749,21.14271369,51.68350168,3,2,NA,NA,1,
1988,Finland,3,Uralic,FI,50,5.56,44.44,,,23.90547815,22048,5.195313009,30.08745748,20.7069588,50.56110945,3,0,NA,NA,0,
1989,Finland,76,Uralic,FI,50,5.56,44.44,,,23.02336683,23973,5.220570258,30.39666554,20.45499528,50.4790956,3,0,NA,NA,3,
1990,Finland,8,Uralic,FI,47.35,7.27,45.32,,,22.14624171,28365,5.396937082,29.22305654,19.50988907,52.26860454,3,0,NA,NA,0,
1991,Finland,6,Uralic,FI,48.91,36.26,14.83,,,21.26951979,25485,4.825141831,26.51353871,17.15900068,55.6542653,3,0,NA,NA,0,
1992,Finland,4,Uralic,FI,47.06,52.94,0,,,25.54433724,22319,4.278030714,26.25793211,18.10525819,56.65825293,3,1,NA,NA,0,
1993,Finland,20,Uralic,FI,47.06,52.94,0,,,31.38096794,17609,4.372987352,26.95897699,19.83362113,56.09628039,3,1,NA,NA,1,
1994,Finland,11,Uralic,FI,48.63,51.37,0,,,34.03563676,20301,4.186272025,28.22179859,20.99086491,55.11135109,3,1,NA,NA,0,
1996,Finland,9,Uralic,FI,38.89,0,55.56,,,36.31946553,25783,3.44915412,28.84025744,21.39337598,55.08458803,3,2,NA,NA,0,
1998,Finland,22,Uralic,FI,38.89,0,55.56,,,37.43878347,26009,2.899380779,30.52940884,22.9103375,53.53686273,3,2,NA,NA,1,
2000,Finland,18,Uralic,FI,44.44,0,50,,,42.03104616,24285,2.953635977,31.58997963,24.15018836,52.95217015,3,2,NA,NA,1,
2002,Finland,24,Uralic,FI,51.63,0,46.09,,,39.13500263,26870,2.672305807,30.10990935,22.86747572,54.91494148,3,0,NA,NA,0,
2004,Finland,51,Uralic,FI,11.11,44.44,44.44,,0.84,38.61537686,37703,2.379722597,29.37300797,21.54285138,55.8226987,3,1,NA,NA,1,
2005,Finland,50,Uralic,FI,11.11,44.44,44.44,,0.82,40.27336705,39040,2.278261186,29.25185352,21.21539648,55.86051115,3,1,NA,0.030938945,1,
2006,Finland,292,Uralic,FI,11.11,44.44,44.44,,0.67,43.07420025,41188,2.001191461,30.24112622,21.81067341,54.95294887,3,1,NA,0.011316976,3,
2006,Finland,292,Uralic,FI,11.11,44.44,44.44,,0.67,43.07420025,41188,2.001191461,30.24112622,21.81067341,54.95294887,3,1,NA,0.011316976,3,
2007,Finland,53,Uralic,FI,38.49,41.32,20.19,,0.68,43.8259066,48415,2.380366918,30.67000941,22.12998204,54.69231098,3,1,NA,0.012613605,1,
2008,Finland,35,Uralic,FI,50,40,10,5300484,0.51,44.90000772,53554,2.205235117,29.56322549,20.78912825,56.22474455,3,0,NA,0.013610574,0,
2008,Finland,79,Uralic,FI,50,40,10,5300484,0.51,44.90000772,53554,2.205235117,29.56322549,20.78912825,56.22474455,3,0,NA,0.013610574,2,
2009,Finland,22,Uralic,FI,50,40,10,5326314,0.55,36.08092568,47294,2.253682317,25.66039605,16.66877583,59.60648594,3,0,0.00487314,0.013145304,0,
2009,Finland,42,Uralic,FI,50,40,10,5326314,0.55,36.08092568,47294,2.253682317,25.66039605,16.66877583,59.60648594,3,0,0.00487314,0.013145304,1,
2010,Finland,49,Uralic,FI,50,40,10,5351427,0.69,38.41439756,46460,2.418904769,26.15829449,16.96900762,58.94293171,3,0,0.004714893,0.012893306,1,
2011,Finland,57,Uralic,FI,45.83,21.63,32.54,5375276,0.63,38.90039293,51082,2.321235568,25.03106092,16.26077031,59.30665966,3,0,0.004456568,0.01223146,1,
2011,Finland,103,Uralic,FI,45.83,21.63,32.54,5375276,0.63,38.90039293,51082,2.321235568,25.03106092,16.26077031,59.30665966,3,0,0.004456568,0.01223146,2,
2012,Finland,41,Uralic,FI,42.11,5.26,52.63,5401267,0.49,38.80827907,47711,2.314499321,23.37878102,14.46052219,60.68932585,3,2,0.004835287,0.0117382,1,
2013,Finland,13,Uralic,FI,42.11,5.26,52.63,5426674,0.38,38.01762912,49878,2.367353331,23.32163605,14.50462752,60.44263683,3,2,0.004703896,0.010750241,0,
2013,Finland,64,Uralic,FI,42.11,5.26,52.63,5426674,0.38,38.01762912,49878,2.367353331,23.32163605,14.50462752,60.44263683,3,2,0.004703896,0.010750241,2,
2014,Finland,72,Uralic,FI,47.38,5.59,47.03,5451270,0.3,36.48143762,50260,2.398294804,23.09748329,14.45501868,60.73553507,3,0,0.004532426,0.008981057,2,
2014,Finland,97,Uralic,FI,47.38,5.59,47.03,5451270,0.3,36.48143762,50260,2.398294804,23.09748329,14.45501868,60.73553507,3,0,0.004532426,0.008981057,3,
2015,Finland,13,Uralic,FI,55.44,27.86,16.7,5471753,0.24,35.40695887,42785,2.25370769,23.3058164,14.68458027,60.82266954,3,0,0.003757473,0.008423043,0,
2016,Finland,51,Uralic,FI,57.14,42.86,0,5487308,0.18,34.81045247,43784,2.310613375,23.49736574,14.56569112,60.34305207,3,0,0.002842782,,0,
2017,Finland,92,Uralic,FI,57.87,42.13,0,5503297,0.18,37.54954684,46297,2.315942042,24.40068758,15.20099337,59.76420785,3,0,0.002913815,,1,
2018,Finland,46,Uralic,FI,58.82,41.18,0,5513130,0.15,38.43026838,50013,2.384294126,24.0213782,14.62498288,59.83542722,3,0,0.001786747,,0,
2018,Finland,108,Uralic,FI,58.82,41.18,0,5513130,0.15,38.43026838,50013,2.384294126,24.0213782,14.62498288,59.83542722,3,0,0.001786747,,1,
2019,Finland,22,Uralic,FI,32.07,31.76,36.16,5517919,0.13,39.77674279,48712,2.454830372,23.93064209,14.45053504,60.05802024,3,2,0.000868654,,0,
1975,France,91,Italic,FR,68.75,6.25,6.25,,,18.8332005,6691,4.813122149,28.64895114,19.69127847,55.82933406,3,0,NA,NA,3,
1976,France,147,Italic,FR,61.73,5.99,10.15,,,19.33517233,6867,4.559227033,28.16897275,19.60551993,56.19048318,3,0,NA,NA,3,
1977,France,136,Italic,FR,42.41,11.46,14.14,,,20.23356703,7533,4.31574247,28.11213564,19.54909764,57.25586444,3,0,NA,NA,3,
1978,France,119,Italic,FR,32.55,36.93,3.4,,,20.24267458,9265,4.170503277,28.01227715,19.33709106,57.09450253,3,1,NA,NA,3,
1979,France,106,Italic,FR,30,45,0,,,20.71595389,11180,4.133497401,27.62888928,18.86190703,56.96516913,3,1,NA,NA,3,
1980,France,45,Italic,FR,30,45,0,,,20.98257963,12713,3.60736658,27.76988291,18.49480931,57.83075459,3,1,NA,NA,2,
1981,France,125,Italic,FR,11.59,17.38,61.37,,,21.96986186,11105,3.5316725,27.06765885,18.0479818,58.74486505,3,2,NA,NA,3,
1983,France,56,Italic,FR,0,0,100,,,22.43632708,9993,3.595475564,26.24271343,17.48714858,59.37430824,3,2,NA,NA,3,
1984,France,61,Italic,FR,0,0,100,,,23.83548081,9420,3.358980524,25.77839696,17.26348245,60.06732388,3,2,NA,NA,2,
1985,France,56,Italic,FR,0,0,100,,,23.3242135,9763,3.337649088,25.63861954,17.31660351,60.05762259,3,2,NA,NA,2,
1986,France,13,Italic,FR,44.03,25.16,21.37,,,20.38347844,13540,3.234609549,25.45998262,16.93416123,60.56265928,3,0,NA,NA,0,
1987,France,44,Italic,FR,56,32,0,,,19.59735182,16302,3.088145442,25.05061432,16.50722035,61.06710063,3,0,NA,NA,1,
1988,France,64,Italic,FR,20.35,12.95,45.03,,,20.36672557,17680,2.849391763,24.98122058,16.37511281,61.297212,3,2,NA,NA,2,
1989,France,60,Italic,FR,0,0,70,,,21.65815382,17694,3.124996866,24.38670934,16.17546918,61.83702881,3,2,NA,NA,2,
1990,France,132,Italic,FR,0,0,70,,,20.97573338,21794,3.136835031,24.45645468,16.20726575,61.99492001,3,2,NA,NA,3,
1991,France,146,Italic,FR,0,0,79.49,,,21.33488442,21675,2.614350946,24.29969635,15.91757847,62.81925978,3,2,NA,NA,3,
1992,France,73,Italic,FR,0,0,76.82,,,21.33055935,23814,2.592788751,24.00663847,15.59298416,63.5787629,3,2,NA,NA,2,
1993,France,121,Italic,FR,38.08,35.54,17.66,,,20.79257941,22380,2.295732756,23.06195764,15.06454231,64.83615105,3,0,NA,NA,3,
1994,France,74,Italic,FR,48.28,48.28,0,,,21.66032273,23497,2.400694316,22.24437161,14.69487663,64.95045628,3,0,NA,NA,2,
1995,France,94,Italic,FR,54.74,41.29,0,,,22.62292606,26890,2.444772231,22.30977786,14.88295316,64.77382327,3,0,NA,NA,3,
1996,France,18,Italic,FR,58.62,34.48,0,,,23.05556487,26872,2.404281518,21.67518722,14.4765569,65.10781256,3,0,NA,NA,0,
1997,France,95,Italic,FR,24.73,14.55,57.81,,,25.52319542,24229,2.344255815,21.52730131,14.6741472,65.39704837,3,2,NA,NA,3,
1998,France,3,Italic,FR,0,0,100,,,26.12649198,24974,2.362459834,21.44484487,14.66680869,65.48706409,3,2,NA,NA,0,
1999,France,14,Italic,FR,0,0,100,,,26.07653539,24673,2.236261411,21.2017282,14.44340788,65.88955453,3,2,NA,NA,0,
2000,France,5,Italic,FR,0,0,100,,,28.59497425,22364,2.098357551,21.29393981,14.47755794,66.31110149,3,2,NA,NA,0,
2001,France,142,Italic,FR,0,0,100,,,28.2658952,22434,2.107008191,20.93836952,14.03042517,66.93095826,3,2,NA,NA,3,
2002,France,104,Italic,FR,43.83,5.05,34.52,,,27.53105026,24177,2.010858852,20.64945281,13.58509008,67.41361948,3,0,NA,NA,3,
2003,France,19,Italic,FR,66.67,7.41,0,,,26.11196897,29568,1.850164289,20.1918112,13.09391378,68.05820444,3,0,NA,NA,1,
2004,France,40,Italic,FR,86.94,4.25,0,,9.29,26.46883632,33741,1.822690944,19.95752395,12.68471772,68.16537844,3,0,NA,NA,1,
2005,France,11,Italic,FR,89.75,3.23,0,,8.94,27.03305104,34760,1.680101704,19.60960527,12.24929993,68.52741229,3,0,NA,0.030938945,0,
2006,France,5,Italic,FR,87.1,3.23,0,,8.39,27.93505509,36444,1.518490643,19.28408447,11.7271803,68.71738294,3,0,NA,0.011316976,0,
2007,France,19,Italic,FR,79.54,5.11,0,,7.94,27.85325751,41508,1.612992953,19.13673919,11.62968228,69.0074999,3,0,NA,0.012613605,0,
2008,France,47,Italic,FR,75,6.25,0,64007193,7.15,28.11938486,45334,1.515223,18.81383069,11.10455837,69.65403186,3,0,NA,0.013610574,1,
2009,France,107,Italic,FR,82.84,5.57,0,64350226,7.55,24.83554721,41575,1.323161997,18.30484264,10.58989208,70.75141679,3,0,0.005359288,0.013145304,3,
2010,France,82,Italic,FR,81.14,4.57,0,64658856,8.2,26.78829984,40638,1.604028289,17.84573563,10.32712554,70.65197072,3,0,0.004796098,0.012893306,2,
2011,France,82,Italic,FR,95.65,0,0,64978721,9.42,28.42133748,43791,1.650287193,17.97816621,10.395998,70.17969081,3,0,0.004946963,0.01223146,2,
2012,France,21,Italic,FR,35.54,0,62.84,65276983,9.4,29.20302719,40875,1.631795037,17.86855062,10.36157533,70.27949966,3,2,0.004590149,0.0117382,0,
2013,France,14,Italic,FR,0,0,100,65600350,11.6,29.36473787,42593,1.458632177,17.97180129,10.35434248,70.30369041,3,2,0.004953768,0.010750241,0,
2014,France,2,Italic,FR,0,0,100,66165980,9.73,29.6666845,43011,1.55635616,17.74593967,10.280426,70.3461076,3,2,0.008622363,0.008981057,0,
2015,France,4,Italic,FR,0,0,100,66458153,9.73,30.59262238,36638,1.605644387,17.67969171,10.43366363,70.20872149,3,2,0.004415759,0.008423043,0,
2016,France,257,Italic,FR,0,0,100,66638391,9.12,30.24753718,37037,1.437114867,17.43413205,10.28302305,70.50541844,3,2,0.002712053,,3,
2017,France,135,Italic,FR,29.16,4.42,39.65,66809816,8.72,30.94863319,38685,1.542414774,17.24115265,10.13628516,70.28536828,3,2,0.002572466,,2,
2018,France,173,Italic,FR,50.5,4.95,0,67026224,8.96,31.71915633,41526,1.651129523,17.07473291,9.891315537,70.20248767,3,0,0.003239165,,2,
2019,France,100,Italic,FR,54.03,9.42,0,67177636,9.11,31.77171366,40380,1.597141948,17.13520341,9.81890648,70.19472253,3,0,0.002258996,,1,
1975,Germany,15,Germanic,GE,25,0,75,,,17.11064235,6236,,,,,NA,2,NA,NA,0,
1976,Germany,12,Germanic,GE,25,0,75,,,18.07170904,6635,,,,,NA,2,NA,NA,0,
1977,Germany,55,Germanic,GE,25,0,75,,,17.9799572,7683,,,,,NA,2,NA,NA,2,
1978,Germany,84,Germanic,GE,25,0,75,,,17.63674336,9482,,,,,NA,2,NA,NA,2,
1979,Germany,86,Germanic,GE,25,0,75,,,17.82462324,11281,,,,,NA,2,NA,NA,3,
1980,Germany,128,Germanic,GE,24.77,0,75.23,,,18.62122396,12138,,,,,NA,2,NA,NA,3,
1981,Germany,132,Germanic,GE,23.53,0,76.47,,,20.13483519,10209,,,,,NA,2,NA,NA,3,
1982,Germany,161,Germanic,GE,22.43,18.65,58.92,,,20.87000855,9914,,,,,NA,2,NA,NA,3,
1983,Germany,94,Germanic,GE,19.07,80.93,0,,,20.29140637,9864,,,,,NA,1,NA,NA,3,
1984,Germany,34,Germanic,GE,17.65,82.35,0,,,21.72556858,9313,,,,,NA,1,NA,NA,1,
1985,Germany,105,Germanic,GE,17.65,82.35,0,,,22.93900374,9430,,,,,NA,1,NA,NA,3,
1986,Germany,62,Germanic,GE,17.65,82.35,0,,,21.28714032,13462,,,,,NA,1,NA,NA,2,
1987,Germany,141,Germanic,GE,20.41,79.59,0,,,20.68303277,16678,,,,,NA,1,NA,NA,3,
1988,Germany,48,Germanic,GE,21.05,78.95,0,,,21.09008868,17931,,,,,NA,1,NA,NA,1,
1989,Germany,46,Germanic,GE,20.52,79.48,0,,,22.29961991,17764,,,,,NA,1,NA,NA,1,
1990,Germany,60,Germanic,GE,20,80,0,,,22.83583656,22304,,,,,NA,1,NA,NA,2,
1991,Germany,10,Germanic,GE,24.77,75.23,0,,,23.664901,23358,1.101526044,33.52415185,24.84676504,56.36915122,3,1,NA,NA,0,
1992,Germany,27,Germanic,GE,25,75,0,,,22.19469349,26438,1.005428716,32.51589251,23.37679048,57.38340599,3,1,NA,NA,1,
1993,Germany,18,Germanic,GE,25,75,0,,,20.31344059,25523,0.961568117,30.60649156,21.32161358,59.15157434,3,1,NA,NA,1,
1994,Germany,128,Germanic,GE,23.97,76.03,0,,,21.11071028,27077,0.975540433,30.19698833,20.8047334,59.10316745,3,1,NA,NA,3,
1995,Germany,1,Germanic,GE,16.67,83.33,0,,,21.99423628,31658,0.995455529,29.76807892,20.53868606,59.83669462,3,1,NA,NA,0,
1997,Germany,22,Germanic,GE,16.67,83.33,0,,,25.36027331,26964,1.031384647,28.57813018,20.22889631,61.10628968,3,1,NA,NA,1,
1998,Germany,86,Germanic,GE,14.46,67.46,18.08,,,26.40690621,27289,0.975317958,28.38449777,20.40984502,61.27967355,3,1,NA,NA,3,
1999,Germany,140,Germanic,GE,0,0,100,,,26.95923243,26726,0.958397265,27.65440791,19.99461029,61.53708703,3,2,NA,NA,3,
2000,Germany,96,Germanic,GE,0,0,100,,,30.84771157,23636,0.994789222,27.71237832,20.54597006,61.46484977,3,2,NA,NA,3,
2001,Germany,66,Germanic,GE,0,0,100,,,31.84470712,23608,1.083432296,27.0691909,20.34116748,62.18292874,3,2,NA,NA,2,
2002,Germany,17,Germanic,GE,0,0,100,,,32.59257911,25078,0.900496788,26.37872364,19.78991138,63.12189507,3,2,NA,NA,0,
2003,Germany,53,Germanic,GE,0,0,100,,,32.81171295,30244,0.832259436,26.18678134,19.83957098,63.25727877,3,2,NA,NA,2,
2004,Germany,93,Germanic,GE,0,0,100,,,35.71336386,34044,0.951063416,26.40484946,20.03385605,63.23661227,3,2,NA,NA,2,
2005,Germany,4,Germanic,GE,0,5.48,94.52,,,38.05957235,34507,0.726955701,26.35329129,20.06974579,63.3645791,3,2,NA,NA,0,
2006,Germany,36,Germanic,GE,0,50,50,,,41.43290791,36323,0.737585322,26.97439918,20.65976823,62.72343066,3,1,NA,NA,1,
2007,Germany,49,Germanic,GE,0,50,50,,,43.3227581,41587,0.778860195,27.23650257,20.85415375,61.91402452,3,1,NA,NA,1,
2008,Germany,14,Germanic,GE,0,50,50,4382070,,43.79919026,45427,0.838330408,26.84868191,20.04955841,62.22313852,3,1,NA,NA,0,
2009,Germany,35,Germanic,GE,5.57,53.34,41.1,4385429,,38.11990694,41486,0.695334317,24.73580485,17.68335017,64.22855344,3,1,0.000766533,NA,1,
2010,Germany,246,Germanic,GE,31.25,68.75,0,4436391,,42.56547341,41532,0.803696771,26.84889253,19.69521136,62.258657,3,1,0.011620756,NA,3,
2011,Germany,107,Germanic,GE,31.25,68.75,0,4469250,,45.05713628,46645,0.910022424,27.06897192,20.23300019,61.79435394,3,1,0.007406696,NA,2,
2012,Germany,110,Germanic,GE,31.25,68.75,0,4497617,,46.30712014,43858,0.847918814,27.28398614,20.15644863,61.68673119,3,1,0.00634715,NA,3,
2013,Germany,18,Germanic,GE,29.97,68.49,1.54,,,45.41867786,46286,0.942643214,26.78261334,19.92519608,62.19179398,3,1,NA,NA,0,
2014,Germany,39,Germanic,GE,0,62.5,37.5,4490498,,45.61926331,47960,0.904547675,27.01099599,20.22439478,62.10857305,3,1,-0.001582838,NA,1,
2015,Germany,0,Germanic,GE,0,62.5,37.5,3729500,,46.92073836,41087,0.684691591,27.10978858,20.34789735,62.1545645,3,1,-0.169468509,NA,0,
2016,Germany,11,Germanic,GE,0,62.5,37.5,3720400,,46.07326285,42108,0.69843113,27.56850648,20.66187307,61.77060936,3,1,-0.002440005,NA,0,
2017,Germany,6,Germanic,GE,0,64.02,35.98,3718200,,47.20417441,44443,0.826170449,27.51108943,20.42081562,61.74952299,3,1,-0.000591334,NA,0,
2018,Germany,340,Germanic,GE,0,62.31,37.69,3729633,,47.37254984,47787,0.6646685,27.37564839,20.08089,62.06851964,3,1,0.003074875,NA,3,
2019,Germany,32,Germanic,GE,0,62.5,37.5,3723464,,46.89291254,46468,0.721821951,26.70373001,19.11198736,62.63278294,3,1,-0.00165405,NA,0,
1975,Ireland,68,Celtic,IR,0,68.75,31.25,,,38.21598774,2974,,,,,NA,1,NA,NA,2,
1976,Ireland,54,Celtic,IR,0,68.75,31.25,,,41.40357137,2920,,,,,NA,1,NA,NA,2,
1977,Ireland,119,Celtic,IR,49.32,34.85,15.84,,,44.2098926,3428,,,,,NA,0,NA,NA,3,
1978,Ireland,86,Celtic,IR,100,0,0,,,44.6935465,4401,,,,,NA,0,NA,NA,3,
1979,Ireland,80,Celtic,IR,100,0,0,,,44.50404532,5431,,,,,NA,0,NA,NA,3,
1980,Ireland,143,Celtic,IR,100,0,0,,,44.35525699,6373,,,,,NA,0,NA,NA,3,
1981,Ireland,105,Celtic,IR,49.32,33.79,13.52,,,43.3683815,5987,,,,,NA,0,NA,NA,3,
